"","Description","spID","MW","retinaWT","retinaKO","testisWT","testisKO"
"1","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Mus musculus GN=Bckdk PE=1 SV=1","O55028",47,4.11682902068048e-06,6.34581040531598e-06,3.67598406093311e-06,2.92471847756704e-06
"2","[F-actin]-monooxygenase MICAL2 OS=Mus musculus GN=Mical2 PE=1 SV=1","Q8BML1",110,0,0,6.28259094050386e-07,0
"3","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Mus musculus GN=Pdk3 PE=1 SV=1","Q922H2",48,0,0,3.59940105966367e-06,3.57973355327216e-06
"4","[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial OS=Mus musculus GN=Pdp1 PE=1 SV=1","Q3UV70",61,0,0,2.26585247034566e-06,2.25347161386313e-06
"5","1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Mus musculus GN=Agpat1 PE=1 SV=1","O35083",32,0,0,2.1596406357982e-06,3.22176019794495e-06
"6","1-acyl-sn-glycerol-3-phosphate acyltransferase beta OS=Mus musculus GN=Agpat2 PE=1 SV=1","Q8K3K7",31,0,0,0,2.2171252975105e-06
"7","1-acyl-sn-glycerol-3-phosphate acyltransferase delta OS=Mus musculus GN=Agpat4 PE=1 SV=1","Q8K4X7",44,0,0,3.92661933781492e-06,4.68619665155629e-06
"8","1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Mus musculus GN=Agpat3 PE=1 SV=2","Q9D517",43,0,0,2.41076163996078e-06,1.59839265634478e-06
"9","1-phosphatidylinositol 3-phosphate 5-kinase OS=Mus musculus GN=Pikfyve PE=1 SV=3","Q9Z1T6",237,6.53134055601629e-07,0,0,4.35005596346997e-07
"10","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 OS=Mus musculus GN=Plcd3 PE=1 SV=2","Q8K2J0",89,1.30443346497966e-06,0,7.765000038825e-07,0
"11","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 OS=Mus musculus GN=Plch1 PE=2 SV=1","Q4KWH5",188,6.17524353102072e-07,6.79908257712426e-07,0,0
"12","116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus GN=Eftud2 PE=1 SV=1","O08810",109,2.80473140436452e-05,2.89262497898938e-05,1.33144817179486e-05,1.22958921316064e-05
"13","14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3","Q9CQV8",28,1.79670180831127e-05,1.67386937732059e-05,7.40448217987955e-06,6.13668609132371e-06
"14","14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1","P62259",29,1.86818861766052e-05,1.61614974361988e-05,1.66813621523723e-05,1.42201829426536e-05
"15","14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2","P68510",28,1.24387048267703e-05,1.21735954714225e-05,1.11067232698193e-05,9.81869774611793e-06
"16","14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2","P61982",28,1.65849397690271e-05,1.82603932071337e-05,8.63856254319281e-06,0
"17","14-3-3 protein theta OS=Mus musculus GN=Ywhaq PE=1 SV=1","P68254",28,1.79670180831127e-05,1.97820926410615e-05,7.40448217987955e-06,7.36402330958845e-06
"18","14-3-3 protein zeta/delta OS=Mus musculus GN=Ywhaz PE=1 SV=1","P63101",28,2.07311747112838e-05,2.4347190942845e-05,1.60430447230724e-05,1.71827210557064e-05
"19","182 kDa tankyrase-1-binding protein OS=Mus musculus GN=Tnks1bp1 PE=1 SV=2","P58871",182,1.06313716468122e-06,0,0,0
"20","2-amino-3-ketobutyrate coenzyme A ligase, mitochondrial OS=Mus musculus GN=Gcat PE=1 SV=2","O88986",45,0,0,1.53574445212317e-06,0
"21","2-oxoglutarate dehydrogenase, mitochondrial OS=Mus musculus GN=Ogdh PE=1 SV=3","Q60597",116,0,0,1.78728880203989e-06,1.48126905652641e-06
"22","2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial OS=Mus musculus GN=Bckdha PE=1 SV=1","P50136",50,0,0,6.21976503109883e-06,8.93501494896732e-06
"23","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial OS=Mus musculus GN=Bckdhb PE=1 SV=2","Q6P3A8",43,0,0,6.42869770656209e-06,7.9919632817239e-06
"24","26S proteasome non-ATPase regulatory subunit 1 OS=Mus musculus GN=Psmd1 PE=1 SV=1","Q3TXS7",106,0,0,6.19368635172315e-06,5.18723654511891e-06
"25","26S proteasome non-ATPase regulatory subunit 11 OS=Mus musculus GN=Psmd11 PE=1 SV=3","Q8BG32",47,0,0,6.6167713096796e-06,4.38707771635056e-06
"26","26S proteasome non-ATPase regulatory subunit 12 OS=Mus musculus GN=Psmd12 PE=1 SV=4","Q9D8W5",53,0,0,5.21573587513528e-06,7.78085481767836e-06
"27","26S proteasome non-ATPase regulatory subunit 13 OS=Mus musculus GN=Psmd13 PE=1 SV=1","Q9WVJ2",43,0,0,1.12502209864837e-05,1.35863375789306e-05
"28","26S proteasome non-ATPase regulatory subunit 14 OS=Mus musculus GN=Psmd14 PE=1 SV=2","O35593",35,0,0,2.96179287195182e-06,2.94560932383538e-06
"29","26S proteasome non-ATPase regulatory subunit 2 OS=Mus musculus GN=Psmd2 PE=1 SV=1","Q8VDM4",100,7.7396385588793e-07,0,1.07118175535591e-05,9.9659782123097e-06
"30","26S proteasome non-ATPase regulatory subunit 3 OS=Mus musculus GN=Psmd3 PE=1 SV=3","P14685",61,0,0,7.36402052862338e-06,6.19704693812361e-06
"31","26S proteasome non-ATPase regulatory subunit 4 OS=Mus musculus GN=Psmd4 PE=1 SV=1","O35226",41,0,0,0,1.67636302982501e-06
"32","26S proteasome non-ATPase regulatory subunit 5 OS=Mus musculus GN=Psmd5 PE=1 SV=4","Q8BJY1",56,3.45519578521397e-06,3.04339886785562e-06,3.08520090828315e-06,5.52301748219134e-06
"33","26S proteasome non-ATPase regulatory subunit 6 OS=Mus musculus GN=Psmd6 PE=1 SV=1","Q99JI4",46,0,0,9.0141522189838e-06,1.04590475991256e-05
"34","26S proteasome non-ATPase regulatory subunit 7 OS=Mus musculus GN=Psmd7 PE=1 SV=2","P26516",37,0,0,8.40508787986328e-06,7.43036586192708e-06
"35","26S proteasome non-ATPase regulatory subunit 8 OS=Mus musculus GN=Psmd8 PE=1 SV=2","Q9CX56",40,0,0,2.59156876295784e-06,4.2956802639266e-06
"36","26S proteasome regulatory subunit 10B OS=Mus musculus GN=Psmc6 PE=1 SV=1","P62334",44,0,0,7.85323867562983e-06,9.37239330311257e-06
"37","26S proteasome regulatory subunit 4 OS=Mus musculus GN=Psmc1 PE=1 SV=1","P62192",49,0,0,1.05778316855422e-05,1.05200332994121e-05
"38","26S proteasome regulatory subunit 6A OS=Mus musculus GN=Psmc3 PE=1 SV=2","O88685",50,0,0,9.67519004837595e-06,7.56039726451081e-06
"39","26S proteasome regulatory subunit 6B OS=Mus musculus GN=Psmc4 PE=1 SV=2","P54775",47,3.29346321654438e-06,4.53272171808284e-06,1.39687394315458e-05,1.31612331490517e-05
"40","26S proteasome regulatory subunit 7 OS=Mus musculus GN=Psmc2 PE=1 SV=5","P46471",49,0,0,1.05778316855422e-05,1.19227044060003e-05
"41","26S proteasome regulatory subunit 8 OS=Mus musculus GN=Psmc5 PE=1 SV=1","P62196",46,4.20632530373875e-06,2.77875548804209e-06,1.50235870316397e-05,1.56885713986884e-05
"42","28S ribosomal protein S10, mitochondrial OS=Mus musculus GN=Mrps10 PE=1 SV=1","Q80ZK0",19,0,8.97001771578499e-06,1.27305132215473e-05,5.42612243864412e-06
"43","28S ribosomal protein S11, mitochondrial OS=Mus musculus GN=Mrps11 PE=1 SV=2","Q9DCA2",20,0,0,3.45542501727713e-06,0
"44","28S ribosomal protein S14, mitochondrial OS=Mus musculus GN=Mrps14 PE=1 SV=1","Q9CR88",15,0,0,4.6072333563695e-06,0
"45","28S ribosomal protein S15, mitochondrial OS=Mus musculus GN=Mrps15 PE=1 SV=2","Q9DC71",29,0,0,2.38305173605319e-06,2.37003049044226e-06
"46","28S ribosomal protein S17, mitochondrial OS=Mus musculus GN=Mrps17 PE=1 SV=1","Q9CQE3",13,5.95356812221485e-06,6.55501294615057e-06,1.06320769762373e-05,7.93048664109525e-06
"47","28S ribosomal protein S18b, mitochondrial OS=Mus musculus GN=Mrps18b PE=1 SV=1","Q99N84",29,2.66884088237217e-06,0,0,0
"48","28S ribosomal protein S2, mitochondrial OS=Mus musculus GN=Mrps2 PE=1 SV=1","Q924T2",32,4.83727409929956e-06,5.32594801874734e-06,1.18780234968901e-05,9.66528059383484e-06
"49","28S ribosomal protein S22, mitochondrial OS=Mus musculus GN=Mrps22 PE=1 SV=1","Q9CXW2",41,8.49472524755045e-06,7.27446558658173e-06,8.42786589579787e-06,6.70545211930005e-06
"50","28S ribosomal protein S23, mitochondrial OS=Mus musculus GN=Mrps23 PE=1 SV=1","Q8VE22",20,1.1609457838319e-05,1.70430336599915e-05,1.55494125777471e-05,8.59136052785319e-06
"51","28S ribosomal protein S24, mitochondrial OS=Mus musculus GN=Mrps24 PE=1 SV=1","Q9CQV5",19,4.07349397835753e-06,4.48500885789249e-06,5.45593423780599e-06,0
"52","28S ribosomal protein S25, mitochondrial OS=Mus musculus GN=Mrps25 PE=1 SV=1","Q9D125",20,7.7396385588793e-06,6.3911376224968e-06,5.18313752591569e-06,3.43654421114128e-06
"53","28S ribosomal protein S26, mitochondrial OS=Mus musculus GN=Mrps26 PE=1 SV=1","Q80ZS3",23,3.365060242991e-06,0,0,0
"54","28S ribosomal protein S27, mitochondrial OS=Mus musculus GN=Mrps27 PE=1 SV=2","Q8BK72",48,7.25591114894934e-06,7.10126402499645e-06,9.35844275512555e-06,7.15946710654433e-06
"55","28S ribosomal protein S28, mitochondrial OS=Mus musculus GN=Mrps28 PE=1 SV=1","Q9CY16",21,5.52831325634236e-06,1.01446628928521e-05,3.29088096883536e-06,0
