"","Description","spID","MW","retinaKO","retinaWT","testisKO","testisWT"
"1","[3-methyl-2-oxobutanoate dehydrogenase [lipoamide]] kinase, mitochondrial OS=Mus musculus GN=Bckdk PE=1 SV=1","O55028",47,7,5,4,5
"2","[F-actin]-monooxygenase MICAL2 OS=Mus musculus GN=Mical2 PE=1 SV=1","Q8BML1",110,0,0,0,2
"3","[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 3, mitochondrial OS=Mus musculus GN=Pdk3 PE=1 SV=1","Q922H2",48,0,0,5,5
"4","[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial OS=Mus musculus GN=Pdp1 PE=1 SV=1","Q3UV70",61,0,0,4,4
"5","1-acyl-sn-glycerol-3-phosphate acyltransferase alpha OS=Mus musculus GN=Agpat1 PE=1 SV=1","O35083",32,0,0,3,2
"6","1-acyl-sn-glycerol-3-phosphate acyltransferase beta OS=Mus musculus GN=Agpat2 PE=1 SV=1","Q8K3K7",31,0,0,2,0
"7","1-acyl-sn-glycerol-3-phosphate acyltransferase delta OS=Mus musculus GN=Agpat4 PE=1 SV=1","Q8K4X7",44,0,0,6,5
"8","1-acyl-sn-glycerol-3-phosphate acyltransferase gamma OS=Mus musculus GN=Agpat3 PE=1 SV=2","Q9D517",43,0,0,2,3
"9","1-phosphatidylinositol 3-phosphate 5-kinase OS=Mus musculus GN=Pikfyve PE=1 SV=3","Q9Z1T6",237,0,4,3,0
"10","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase delta-3 OS=Mus musculus GN=Plcd3 PE=1 SV=2","Q8K2J0",89,0,3,0,2
"11","1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase eta-1 OS=Mus musculus GN=Plch1 PE=2 SV=1","Q4KWH5",188,3,3,0,0
"12","116 kDa U5 small nuclear ribonucleoprotein component OS=Mus musculus GN=Eftud2 PE=1 SV=1","O08810",109,74,79,39,42
"13","14-3-3 protein beta/alpha OS=Mus musculus GN=Ywhab PE=1 SV=3","Q9CQV8",28,11,13,5,6
"14","14-3-3 protein epsilon OS=Mus musculus GN=Ywhae PE=1 SV=1","P62259",29,11,14,12,14
"15","14-3-3 protein eta OS=Mus musculus GN=Ywhah PE=1 SV=2","P68510",28,8,9,8,9
"16","14-3-3 protein gamma OS=Mus musculus GN=Ywhag PE=1 SV=2","P61982",28,12,12,0,7
